Trip ID,Date and Time,Distance Driven (miles_driven),Load Type,Delivery Status,Fuel Efficiency (MPG),Diesel Fuel Used (gallons),Driver Name,Driver Experience (years),Hours Worked,Driver Profit ($),Delivery Cost ($),Fuel Cost ($),Profit Margin (%),Cost per Mile ($),Profit per Mile ($),Fuel Cost per Mile ($),Total Revenue ($),Load Time (hrs),Unload Time (hrs),Total Load/Unload Time (hrs),Customer Location,Order Quantity (gallons),Fuel Prices ($/gallon),Delivery Frequency (days)
TRIP-0001,2023-01-01 00:00:00.000000000,152,Ethanol,Incomplete,6.57,210,Driver_3,3,14,1287,4172,1267.36,5.78,1.99,0.64,1.57,8189,2.91,2.64,3.33,CityA,5509,4.14,17
TRIP-0002,2023-01-01 08:44:41.081081081,485,Diesel,Late,7.09,168,Driver_3,6,7,1009,2381,1148.82,7.99,1.06,2.18,1.87,6386,2.6,2.38,3.35,CityE,2082,3.8,16
TRIP-0003,2023-01-01 17:29:22.162162162,398,Diesel,Incomplete,7.39,198,Driver_3,7,9,1573,4796,1215.18,20.56,1.67,2.61,1.02,7942,2.34,2.33,2.79,CityD,9424,4.96,20
TRIP-0004,2023-01-02 02:14:03.243243243,320,Ethanol,Incomplete,6.38,258,Driver_10,20,9,1124,1021,310.79,28.36,3.43,1.5,1.39,9759,2.08,2.05,5.44,CityB,8376,4.02,22
TRIP-0005,2023-01-02 10:58:44.324324324,156,Gasoline,Incomplete,7.53,199,Driver_3,23,7,693,2387,339.74,10.16,3.84,1.81,1.85,1244,2.58,1.19,2.59,CityA,2927,4.1,6
TRIP-0006,2023-01-02 19:43:25.405405405,121,Diesel,On-Time,7.31,225,Driver_8,25,8,1746,3052,536.74,23.38,1.08,1.5,0.36,1020,1.99,1.8,5.63,CityA,6221,4.42,7
TRIP-0007,2023-01-03 04:28:06.486486486,238,Diesel,Incomplete,5.2,86,Driver_1,27,8,1321,4309,849.4,26.66,1.15,1.25,1.59,9585,1.6,2.91,3.13,CityE,8923,3.97,14
TRIP-0008,2023-01-03 13:12:47.567567567,70,Diesel,Late,5.14,192,Driver_7,18,6,1294,4655,1159.82,18.02,4.61,2.51,1.31,6767,1.32,2.99,5.6,CityB,5430,3.45,11
TRIP-0009,2023-01-03 21:57:28.648648648,152,Ethanol,Late,6.86,212,Driver_6,11,11,563,4916,1279.32,21.73,1.29,1.18,1.28,4515,2.3,2.46,5.16,CityB,4853,4.07,12
TRIP-0010,2023-01-04 06:42:09.729729729,171,Diesel,Late,6.04,269,Driver_4,19,13,769,3979,1100.85,25.38,4.58,2.31,0.73,2910,2.86,1.46,4.33,CityB,8332,4.89,14
TRIP-0011,2023-01-04 15:26:50.810810810,264,Ethanol,Late,5.63,248,Driver_8,5,8,962,1909,1403.61,11.52,1.91,1.02,1.43,9481,1.31,1.2,4.68,CityE,5875,3.82,5
TRIP-0012,2023-01-05 00:11:31.891891891,380,Ethanol,Incomplete,6.74,209,Driver_10,19,10,475,2194,1147.3,12.42,3.96,1.12,1.63,6882,1.36,1.83,3.3,CityE,902,4.36,5
TRIP-0013,2023-01-05 08:56:12.972972973,137,Ethanol,Late,6.02,60,Driver_5,11,6,249,1026,563.46,5.02,2.24,1.34,0.4,9552,1.87,2.71,4.3,CityC,7067,4.96,20
TRIP-0014,2023-01-05 17:40:54.054054054,422,Diesel,Late,6.61,187,Driver_8,24,12,1581,3160,507.86,29.08,4.44,1.97,1.16,9076,2.61,2.44,3.17,CityC,5365,4.66,22
TRIP-0015,2023-01-06 02:25:35.135135135,149,Ethanol,Incomplete,6.38,250,Driver_4,12,6,927,2672,1089.86,27.94,3.8,1.64,0.38,2622,1.59,2.77,3.61,CityC,8646,4.32,23
TRIP-0016,2023-01-06 11:10:16.216216216,409,Gasoline,Incomplete,6.75,127,Driver_9,10,14,1105,779,410.38,24.11,2.61,2.36,1.77,5314,1.51,2.23,5.06,CityD,564,4.47,26
TRIP-0017,2023-01-06 19:54:57.297297297,201,Diesel,On-Time,6.2,126,Driver_4,8,13,1127,3464,275.16,6.98,1.31,1.03,1.11,3453,2.24,1.26,2.98,CityA,2737,4.87,15
TRIP-0018,2023-01-07 04:39:38.378378378,180,Diesel,Incomplete,7.09,234,Driver_5,24,12,763,4477,868.5,16.19,3.93,0.53,1.65,3015,2.07,1.23,5.36,CityC,8270,4.92,26
TRIP-0019,2023-01-07 13:24:19.459459459,199,Diesel,Incomplete,5.54,202,Driver_8,28,12,982,3169,1259.22,7.55,3.47,2.44,0.86,3800,1.12,1.1,3.5,CityD,9641,4.94,1
TRIP-0020,2023-01-07 22:09:00.540540540,358,Diesel,On-Time,7.09,51,Driver_4,28,10,684,3393,286.86,5.4,1.01,2.55,0.43,9772,1.16,2.13,4.13,CityD,672,4.25,25
TRIP-0021,2023-01-08 06:53:41.621621621,307,Diesel,On-Time,6.23,113,Driver_6,9,10,1307,2251,1219.05,20.4,1.04,0.65,0.27,7752,2.29,1.49,5.77,CityE,8435,3.77,30
TRIP-0022,2023-01-08 15:38:22.702702702,393,Ethanol,Incomplete,7.62,84,Driver_10,4,10,1861,4481,1245.62,29.02,4.24,2.03,0.71,8453,1.93,2.47,4.73,CityB,3175,3.27,24
TRIP-0023,2023-01-09 00:23:03.783783783,463,Ethanol,On-Time,6.55,56,Driver_8,5,6,783,2861,801.07,27.57,2.04,1.45,0.64,3853,2.94,2.37,4.58,CityB,9942,3.77,23
TRIP-0024,2023-01-09 09:07:44.864864864,343,Diesel,Late,7.92,134,Driver_8,21,13,1519,4927,227.37,22.42,3.54,2.48,1.21,3236,2.36,1.64,4.85,CityC,4505,4.89,9
TRIP-0025,2023-01-09 17:52:25.945945946,435,Ethanol,Incomplete,6.81,195,Driver_5,8,6,435,4631,385.7,7.42,2.82,2.69,0.24,5176,1.02,1.35,5.67,CityA,7044,4.78,3
TRIP-0026,2023-01-10 02:37:07.027027027,241,Diesel,On-Time,5.67,116,Driver_7,23,9,255,2208,1105.03,11.85,4.45,2.63,1.14,3155,1.96,1.2,2.99,CityA,9329,4.05,26
TRIP-0027,2023-01-10 11:21:48.108108108,493,Ethanol,On-Time,7.47,91,Driver_9,9,14,559,3186,1110.9,13.0,4.67,2.44,0.91,6698,1.83,2.47,4.45,CityA,1448,4.07,4
TRIP-0028,2023-01-10 20:06:29.189189189,326,Ethanol,On-Time,6.04,167,Driver_9,15,14,309,3395,1362.78,24.08,4.99,1.17,1.24,7829,1.21,1.9,3.6,CityD,2194,3.62,16
TRIP-0029,2023-01-11 04:51:10.270270270,210,Ethanol,On-Time,6.04,174,Driver_7,15,10,391,3276,936.63,25.06,1.61,2.53,1.46,9537,2.85,1.65,2.05,CityD,5257,3.91,7
TRIP-0030,2023-01-11 13:35:51.351351351,363,Ethanol,Incomplete,5.1,216,Driver_3,16,9,1103,1619,317.54,14.63,4.45,1.83,1.34,2886,2.61,2.71,2.5,CityD,6782,4.43,22
TRIP-0031,2023-01-11 22:20:32.432432432,71,Gasoline,On-Time,6.65,218,Driver_4,14,8,1316,3488,313.91,15.45,2.06,0.63,1.97,7471,1.46,2.19,3.3,CityE,642,3.8,14
TRIP-0032,2023-01-12 07:05:13.513513513,302,Diesel,On-Time,6.6,290,Driver_10,8,8,1061,4759,1123.53,6.11,3.36,1.64,0.45,9746,1.51,2.04,4.26,CityD,6501,3.38,16
TRIP-0033,2023-01-12 15:49:54.594594594,285,Gasoline,On-Time,6.07,252,Driver_3,18,10,767,4743,398.11,12.23,3.02,2.86,0.97,4770,1.06,2.49,5.53,CityA,7152,4.08,29
